CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location
40397886,LANDMARK COFFEE SHOP,Manhattan,158,GRAND STREET,10013.0,2123340040,American,12/29/2022,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,12.0,A,12/29/2022,04/15/2026,Cycle Inspection / Re-inspection,40.7198972847,-73.99874818368,102.0,1.0,4500.0,1007008.0,1004720025.0,MN24,POINT (-73.998748183682 40.7198972847)
50099022,FELICE 56,Manhattan,15,WEST   56 STREET,10019.0,6464377272,Italian,10/16/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,33.0,,,04/15/2026,Cycle Inspection / Initial Inspection,40.7626333267,-73.97525799538,105.0,4.0,11201.0,1084673.0,1012720026.0,MN17,POINT (-73.975257995379 40.762633326703)
50003242,ROUTE 66 AMERICAN BBQ,Manhattan,79,PEARL STREET,10004.0,2129431602,American,02/15/2024,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,33.0,C,02/15/2024,04/15/2026,Cycle Inspection / Re-inspection,40.70397991668,-74.01025017072,101.0,1.0,900.0,1000837.0,1000290023.0,MN25,POINT (-74.01025017072 40.703979916682)
50168934,RADHUNI SWEETS & RESTAURANT,Brooklyn,483,MCDONALD AVENUE,11218.0,9178584872,Bangladeshi,05/22/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,35.0,,,04/15/2026,Pre-permit (Operational) / Initial Inspection,40.64224574382,-73.97932411873,312.0,39.0,48600.0,3125295.0,3053530089.0,BK41,POINT (-73.97932411873 40.642245743819)
50131344,LA OBEJA NEGRA,Queens,105-05,JAMAICA AVENUE,11418.0,3477014605,American,06/25/2024,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,0.0,,,04/15/2026,Cycle Inspection / Initial Inspection,40.69523073358,-73.84183558732,409.0,29.0,2600.0,4192045.0,4092010044.0,QN54,POINT (-73.841835587324 40.695230733577)
50162068,TAN,Manhattan,209,EAST   49 STREET,10017.0,9173882248,Mexican,11/22/2025,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,69.0,Z,11/22/2025,04/15/2026,Pre-permit (Operational) / Re-inspection,40.75499909144,-73.9707490315,106.0,4.0,9800.0,1088785.0,1013230047.0,MN19,POINT (-73.970749031498 40.754999091438)
50014882,THE BIG WHISKEY,Brooklyn,524,GRAND STREET,11211.0,3477254386,American,10/18/2024,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,27.0,,,04/15/2026,Cycle Inspection / Initial Inspection,40.7110181722,-73.95029474609,301.0,34.0,51300.0,3256427.0,3027850013.0,BK73,POINT (-73.95029474609 40.711018172199)
50084524,KENNEDY CHICKEN GRILL SEAFOOD,Queens,205-29,HOLLIS AVENUE,11412.0,7184507296,Chicken,01/05/2023,Violations were cited in the following area(s).,10A,"Toilet facility not maintained or provided with toilet paper, waste receptacle or self-closing door.",Not Critical,11.0,A,01/05/2023,04/15/2026,Cycle Inspection / Re-inspection,40.70714311537,-73.75198205083,412.0,27.0,51000.0,4458622.0,4109120035.0,QN07,POINT (-73.751982050831 40.707143115371)
50133225,MINT MASALA,Manhattan,95,MACDOUGAL STREET,10012.0,2127772888,Indian,12/30/2024,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,22.0,,,04/15/2026,Cycle Inspection / Initial Inspection,40.72939143469,-74.00100664756,102.0,2.0,6500.0,1008735.0,1005420053.0,MN23,POINT (-74.001006647563 40.729391434692)
50140802,SUSHI COUNTER LIMITED,Manhattan,119,CHRISTOPHER STREET,10014.0,9177245504,Japanese,07/15/2025,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,50.0,C,07/15/2025,04/15/2026,Cycle Inspection / Re-inspection,40.73319280284,-74.00558559021,102.0,3.0,7300.0,1011150.0,1006190045.0,MN23,POINT (-74.00558559021 40.733192802836)
50143891,TAKU SANDO,Brooklyn,29,GREENPOINT AVENUE,11222.0,6464001195,Japanese,06/30/2025,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,27.0,,,04/15/2026,Cycle Inspection / Initial Inspection,40.72967531938,-73.95974114001,301.0,33.0,56500.0,3064667.0,3025560053.0,BK76,POINT (-73.959741140007 40.729675319384)
50000011,BIRCH COFFEE,Manhattan,750,COLUMBUS AVENUE,10025.0,9173425091,Coffee/Tea,11/27/2024,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13.0,A,11/27/2024,04/15/2026,Cycle Inspection / Initial Inspection,40.79327100654,-73.96723257692,107.0,7.0,18100.0,1079308.0,1018517501.0,MN12,POINT (-73.967232576915 40.793271006537)
50133885,THE SPA CLUB,Manhattan,22,WEST   32 STREET,10001.0,2125024185,Korean,04/08/2023,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container.  Condiments not in single-service containers or dispensed directly by the vendor.",Critical,32.0,,,04/15/2026,Pre-permit (Operational) / Initial Inspection,40.74762687172,-73.9866537434,105.0,3.0,7600.0,1015828.0,1008330057.0,MN17,POINT (-73.986653743397 40.747626871722)
50039289,ROLLY KIMBAB,Queens,61-23,SPRINGFIELD BOULEVARD,11364.0,3474084172,Korean,06/05/2024,Violations were cited in the following area(s).,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,72.0,,,04/15/2026,Cycle Inspection / Initial Inspection,40.74879664723,-73.75654711393,411.0,23.0,137700.0,4163156.0,4076440009.0,QN42,POINT (-73.756547113927 40.748796647225)
50129745,KENNEDY CHICKEN & PIZZA,Bronx,2371,GRAND CONCOURSE,10468.0,3472619919,Chicken,07/29/2025,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,19.0,,,04/15/2026,Cycle Inspection / Initial Inspection,40.85915716718,-73.89893560511,205.0,14.0,23703.0,2013785.0,2031640046.0,BX40,POINT (-73.898935605105 40.859157167182)
50145399,NOMAS RESTAURANT,Manhattan,3855,10 AVENUE,10034.0,8458100202,Latin American,05/13/2024,Violations were cited in the following area(s).,09E,Wash hands sign not posted near or above hand washing sink.,Not Critical,27.0,,,04/15/2026,Pre-permit (Operational) / Initial Inspection,40.86396829508,-73.91927204964,112.0,10.0,29900.0,1064508.0,1022030001.0,MN01,POINT (-73.919272049641 40.863968295082)
50125782,BEL AMI,Manhattan,866,LEXINGTON AVENUE,10065.0,2126748020,Coffee/Tea,07/18/2025,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,32.0,C,07/18/2025,04/15/2026,Cycle Inspection / Re-inspection,40.76588884164,-73.96552050121,108.0,4.0,12000.0,1042384.0,1013990060.0,MN40,POINT (-73.965520501211 40.76588884164)
50127898,BLANK STREET COFFEE,Manhattan,590,6 AVENUE,10011.0,3475107960,Coffee/Tea,12/29/2025,Violations were cited in the following area(s).,16-02,"The original nutrition fact labels or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturer’s documentation not maintained on site.",Not Applicable,,,,04/15/2026,Trans Fat / Re-inspection,40.73917094668,-73.99550009151,105.0,3.0,5400.0,1068261.0,1008187501.0,MN13,POINT (-73.995500091506 40.739170946677)
50160337,EMMONS PALACE,Brooklyn,2265,EMMONS AVENUE,11235.0,7186161272,Russian,09/04/2025,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,27.0,B,09/04/2025,04/15/2026,Pre-permit (Operational) / Re-inspection,40.5836769278,-73.94454323691,315.0,48.0,60800.0,3342943.0,3087830064.0,BK17,POINT (-73.944543236905 40.583676927803)
50171760,KHALIL HALAL CHINESE,Bronx,2060,MCGRAW AVENUE,10462.0,9293719915,Pakistani,12/11/2025,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,25.0,N,,04/15/2026,Pre-permit (Operational) / Initial Inspection,40.83549045443,-73.85622002199,209.0,18.0,22200.0,2028965.0,2039320174.0,BX46,POINT (-73.856220021989 40.835490454432)
